Section Name,Section Number,Longitude,Latitude,GRCode,,,
Akutlak Composite,139,-115.31,50.18,GR4898,,,
Albjara A,3,13.18,55.94,GR1076,,,
Albjara A,3,13.18,55.94,GR1077,,,
Albjara A,3,13.18,55.94,GR1155,,,
Albjara A,3,13.18,55.94,GR1159,,,
Albjara A,3,13.18,55.94,GR1170,,,
Albjara A,3,13.18,55.94,GR1216,,,
Albjara A,3,13.18,55.94,GR1870,,,
Albjara A,3,13.18,55.94,GR2011,,,
Albjara A,3,13.18,55.94,GR2152,,,
Albjara A,3,13.18,55.94,GR2432,,,
Albjara A,3,13.18,55.94,GR3227,,,
Albjara A,3,13.18,55.94,GR3330,,,
Albjara A,3,13.18,55.94,GR3332,,,
Albjara A,3,13.18,55.94,GR3333,,,
Albjara A,3,13.18,55.94,GR3334,,,
Albjara A,3,13.18,55.94,GR3336,,,
Albjara A,3,13.18,55.94,GR3337,,,
Albjara A,3,13.18,55.94,GR3342,,,
Albjara A,3,13.18,55.94,GR3343,,,
Albjara A,3,13.18,55.94,GR4795,,,
Albjara A,3,13.18,55.94,GR4842,,,
Albjara A,3,13.18,55.94,GR4884,,,
Albjara A,3,13.18,55.94,GR4888,,,
Albjara B,4,13.18,55.94,GR1026,,,
Albjara B,4,13.18,55.94,GR1080,,,
Albjara B,4,13.18,55.94,GR1088,,,
Albjara B,4,13.18,55.94,GR1106,,,
Albjara B,4,13.18,55.94,GR1113,,,
Albjara B,4,13.18,55.94,GR1114,,,
Albjara B,4,13.18,55.94,GR1340,,,
Albjara B,4,13.18,55.94,GR1341,,,
Albjara B,4,13.18,55.94,GR1344,,,
Albjara B,4,13.18,55.94,GR1345,,,
Albjara B,4,13.18,55.94,GR1347,,,
Albjara B,4,13.18,55.94,GR2969,,,
Albjara B,4,13.18,55.94,GR3945,,,
Albjara B,4,13.18,55.94,GR4772,,,
Albjara B,4,13.18,55.94,GR4773,,,
Albjara B,4,13.18,55.94,GR4774,,,
Albjara B,4,13.18,55.94,GR4775,,,
Albjara B,4,13.18,55.94,GR4778,,,
Albjara B,4,13.18,55.94,GR4813,,,
Albjara B,4,13.18,55.94,GR4819,,,
Albjara B,4,13.18,55.94,GR4844,,,
Albjara B,4,13.18,55.94,GR4853,,,
Albjara B,4,13.18,55.94,GR4889,,,
Albjara B,4,13.18,55.94,GR4906,,,
Albjara B,4,13.18,55.94,GR4910,,,
Almedalsveien,12,11.25,60,GR1018,,,
Almedalsveien,12,11.25,60,GR1031,,,
Almedalsveien,12,11.25,60,GR1077,,,
Almedalsveien,12,11.25,60,GR1090,,,
Almedalsveien,12,11.25,60,GR1106,,,
Almedalsveien,12,11.25,60,GR1108,,,
Almedalsveien,12,11.25,60,GR1110,,,
Almedalsveien,12,11.25,60,GR1112,,,
Almedalsveien,12,11.25,60,GR1113,,,
Almedalsveien,12,11.25,60,GR1114,,,
Almedalsveien,12,11.25,60,GR1115,,,
Almedalsveien,12,11.25,60,GR1116,,,
Almedalsveien,12,11.25,60,GR1117,,,
Almedalsveien,12,11.25,60,GR1118,,,
Almedalsveien,12,11.25,60,GR1119,,,
Almedalsveien,12,11.25,60,GR1120,,,
Almedalsveien,12,11.25,60,GR1121,,,
Almedalsveien,12,11.25,60,GR1123,,,
Almedalsveien,12,11.25,60,GR4350,,,
Almedalsveien,12,11.25,60,GR4778,,,
Almedalsveien,12,11.25,60,GR4813,,,
Anderson 1-10,13,14.41,63.16,GR3525,,,
Anderson 1-11,13,14.41,63.16,GR2351,,,
Anderson 1-2,13,14.41,63.16,GR1381,,,
Anderson 1-3,13,14.41,63.16,GR4819,,,
Anderson 1-4,13,14.41,63.16,GR1184,,,
Anderson 1-5,13,14.41,63.16,GR2236,,,
Anderson 1-6,13,14.41,63.16,GR3526,,,
Anderson 1-8,13,14.41,63.16,GR1090,,,
Anderson 1-9,13,14.41,63.16,GR1493,,,
Arkona101,24,13.3,54.6,GR1108,,,
Arkona102,24,13.3,54.6,GR1031,,,
Arkona103,24,13.3,54.6,GR4767,,,
Arkona104,24,13.3,54.6,GR1121,,,
Arkona105,24,13.3,54.6,GR1120,,,
Arkona106,24,13.3,54.6,GR1119,,,
Arkona107,24,13.3,54.6,GR1114,,,
Arkona108,24,13.3,54.6,GR1090,,,
Arkona109,24,13.3,54.6,GR1398,,,
Awaynat Wanin,329,12.93,28.17,GR1413,,,
Awaynat Wanin,329,12.93,28.17,GR1614,,,
Awaynat Wanin,329,12.93,28.17,GR1686,,,
Awaynat Wanin,329,12.93,28.17,GR2838,,,
Awaynat Wanin,329,12.93,28.17,GR3639,,,
Awaynat Wanin,329,12.93,28.17,GR3641,,,
Awaynat Wanin,329,12.93,28.17,GR3644,,,
B-B',357,-68.6,-30.28,GR1289,,,
B-B',357,-68.6,-30.28,GR1342,,,
B-B',357,-68.6,-30.28,GR1353,,,
B-B',357,-68.6,-30.28,GR4160,,,
B-B',357,-68.6,-30.28,GR4509,,,
B'ir Al Qasr area,330,13.01,27.54,GR1429,,,
B'ir Al Qasr area,330,13.01,27.54,GR1832,,,
B'ir Al Qasr area,330,13.01,27.54,GR3631,,,
B'ir Al Qasr area,330,13.01,27.54,GR3641,,,
B'ir Al Qasr area,330,13.01,27.54,GR3645,,,
B'ir Al Qasr area,330,13.01,27.54,GR3646,,,
B'ir Al Qasr area,330,13.01,27.54,GR3647,,,
B'ir Al Qasr area,330,13.01,27.54,GR3648,,,
Back Cove,555,-57.81,49.92,GR1009,,,
Back Cove,555,-57.81,49.92,GR1092,,,
Back Cove,555,-57.81,49.92,GR2404,,,
Back Cove,555,-57.81,49.92,GR3455,,,
Back Cove,555,-57.81,49.92,GR4903,,,
Baimachong,1113,112.13,26.8,GR1035,,,
Baimachong,1113,112.13,26.8,GR1174,,,
Baimachong,1113,112.13,26.8,GR1175,,,
Baimachong,1113,112.13,26.8,GR1182,,,
Baimachong,1113,112.13,26.8,GR1194,,,
Baimachong,1113,112.13,26.8,GR1202,,,
Baimachong,1113,112.13,26.8,GR1231,,,
Baimachong,1113,112.13,26.8,GR1234,,,
Baimachong,1113,112.13,26.8,GR1271,,,
Baimachong,1113,112.13,26.8,GR1292,,,
Baimachong,1113,112.13,26.8,GR1383,,,
Baimachong,1113,112.13,26.8,GR2020,,,
Baimachong,1113,112.13,26.8,GR2118,,,
Baimachong,1113,112.13,26.8,GR2412,,,
Baimachong,1113,112.13,26.8,GR2682,,,
Baimachong,1113,112.13,26.8,GR2694,,,
Baimachong,1113,112.13,26.8,GR2713,,,
Baimachong,1113,112.13,26.8,GR2730,,,
Baimachong,1113,112.13,26.8,GR2734,,,
Baimachong,1113,112.13,26.8,GR3010,,,
Baimachong,1113,112.13,26.8,GR3013,,,
Baimachong,1113,112.13,26.8,GR3108,,,
Baimachong,1113,112.13,26.8,GR3952,,,
Baimachong,1113,112.13,26.8,GR3959,,,
Baimachong,1113,112.13,26.8,GR3963,,,
Baimachong,1113,112.13,26.8,GR4107,,,
Baimachong,1113,112.13,26.8,GR4767,,,
Baimachong,1113,112.13,26.8,GR4791,,,
Baimachong,1113,112.13,26.8,GR4812,,,
Baimachong,1113,112.13,26.8,GR4813,,,
Baimachong,1113,112.13,26.8,GR4819,,,
Baimachong,1113,112.13,26.8,GR4831,,,
Baimachong,1113,112.13,26.8,GR4844,,,
